








Frequency of observations in the selected location(s).:
Number of taxa: 	421

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	631.0	421.0	429.0	535.0	410.0	469.0	783.0	413.0	484.0	429.0	575.0	840.0	624.0	656.0	543.0	791.0	638.0	657.0	546.0	600.0	455.0	401.0	398.0	415.0	387.0	422.0	431.0	549.0	451.0	411.0	462.0	716.0	579.0	495.0	480.0	633.0	549.0	423.0	367.0	613.0	325.0	378.0	303.0	379.0	278.0	287.0	341.0	463.0	

American Black Duck	0.0015	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002932551319648094	0.0	
Mallard	0.4152139461172742	0.38954869358669836	0.358974358974359	0.4224299065420561	0.4878048780487805	0.4072494669509595	0.3767560664112388	0.4576271186440678	0.5144628099173554	0.4988344988344988	0.4973913043478261	0.4869047619047619	0.48878205128205127	0.48323170731707316	0.49355432780847147	0.44627054361567636	0.40282131661442006	0.3866057838660578	0.3534798534798535	0.36333333333333334	0.3010989010989011	0.24937655860349128	0.23115577889447236	0.25542168674698795	0.2739018087855297	0.2985781990521327	0.23433874709976799	0.31693989071038253	0.24833702882483372	0.31143552311435524	0.37012987012987014	0.3715083798882682	0.3626943005181347	0.3434343434343434	0.3541666666666667	0.35545023696682465	0.30601092896174864	0.3971631205673759	0.34877384196185285	0.3931484502446982	0.4123076923076923	0.4497354497354497	0.44554455445544555	0.45910290237467016	0.4568345323741007	0.43902439024390244	0.45161290322580644	0.41252699784017277	
Mallard (Domestic type)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002066115702479339	0.002331002331002331	0.0	0.0011904761904761906	0.0016025641025641025	0.0	0.0	0.0	0.0	0.0045662100456621	0.0	0.0	0.0	0.0	0.0	0.0024096385542168677	0.002583979328165375	0.002369668246445498	0.004640371229698376	0.0018214936247723133	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Blue-winged Teal	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.004573170731707317	0.009208103130755065	0.006321112515802781	0.01567398119122257	0.0258751902587519	0.038461538461538464	0.045	0.046153846153846156	0.014962593516209476	0.01256281407035176	0.0024096385542168677	0.0	0.0	0.002320185614849188	0.0018214936247723133	0.004434589800443459	0.0	0.008658008658008658	0.00558659217877095	0.018998272884283247	0.014141414141414142	0.020833333333333332	0.004739336492890996	0.009107468123861567	0.0	0.0015	0.0032626427406199023	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Cinnamon Teal	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004761904761904762	0.0016025641025641025	0.01676829268292683	0.022099447513812154	0.02654867256637168	0.029780564263322883	0.030441400304414	0.03663003663003663	0.023333333333333334	0.015384615384615385	0.00997506234413965	0.0	0.0024096385542168677	0.0103359173126615	0.002369668246445498	0.002320185614849188	0.0018214936247723133	0.0	0.0	0.004329004329004329	0.006983240223463687	0.0034542314335060447	0.0	0.0020833333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Blue-winged/Cinnamon Teal	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002364066193853428	0.0027247956403269754	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Northern Shoveler	0.07290015847860538	0.06175771971496437	0.06060606060606061	0.0691588785046729	0.08536585365853659	0.04904051172707889	0.0421455938697318	0.04600484261501211	0.05578512396694215	0.046620046620046623	0.04173913043478261	0.03333333333333333	0.03685897435897436	0.04573170731707317	0.08287292817679558	0.11504424778761062	0.0877742946708464	0.0639269406392694	0.07142857142857142	0.04	0.01098901098901099	0.0024937655860349127	0.002512562814070352	0.0	0.0	0.0	0.004640371229698376	0.0	0.0022172949002217295	0.004866180048661801	0.02813852813852814	0.06564245810055866	0.0690846286701209	0.05454545454545454	0.07916666666666666	0.09794628751974724	0.1111111111111111	0.10401891252955082	0.09536784741144415	0.0864600326264274	0.08	0.09788359788359788	0.09900990099009901	0.09498680738786279	0.10431654676258993	0.08013937282229965	0.07038123167155426	0.07775377969762419	
Mallard x Northern Shoveler (hybrid)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Northern Pintail	0.1045958795562599	0.09026128266033254	0.10023310023310024	0.08785046728971962	0.10975609756097561	0.08102345415778252	0.08301404853128991	0.05811138014527845	0.09917355371900827	0.07692307692307693	0.07304347826086957	0.06190476190476191	0.05608974358974359	0.04725609756097561	0.0570902394106814	0.05436156763590392	0.03134796238244514	0.0121765601217656	0.01098901098901099	0.0015	0.0	0.0	0.005025125628140704	0.0	0.007751937984496124	0.0	0.0	0.00546448087431694	0.0022172949002217295	0.0024330900243309003	0.04329004329004329	0.0893854748603352	0.12780656303972365	0.09292929292929293	0.10625	0.12006319115323855	0.0692167577413479	0.10874704491725769	0.08719346049046321	0.09787928221859707	0.05846153846153846	0.07142857142857142	0.066006600660066	0.079155672823219	0.07913669064748201	0.10452961672473868	0.09970674486803519	0.10151187904967603	
Green-winged Teal	0.08082408874801902	0.07363420427553444	0.06526806526806526	0.09532710280373832	0.11219512195121951	0.11087420042643924	0.06130268199233716	0.07990314769975787	0.1012396694214876	0.08857808857808858	0.11130434782608696	0.07380952380952381	0.09775641025641026	0.11432926829268293	0.13996316758747698	0.1554993678887484	0.0987460815047022	0.0532724505327245	0.018315018315018316	0.03	0.006593406593406593	0.0024937655860349127	0.0	0.0024096385542168677	0.002583979328165375	0.002369668246445498	0.016241299303944315	0.0	0.0022172949002217295	0.009732360097323601	0.05627705627705628	0.10335195530726257	0.12607944732297063	0.15757575757575756	0.17916666666666667	0.1674565560821485	0.14207650273224043	0.20094562647754138	0.16621253405994552	0.1272430668841762	0.12615384615384614	0.10317460317460317	0.11551155115511551	0.08179419525065963	0.11870503597122302	0.13937282229965156	0.11436950146627566	0.08855291576673865	
